phase,angle_label,depth_left_m,depth_right_m,l1,cosine_distance,js_divergence,freq_l1
double_helix,corner_neg_pos,7.0,10.0,5.9152105677640066e-05,0.4675719141960144,0.18190425634384155,0.0033309776335954666
double_helix,corner_pos_neg,1.0,3.0,5.596204937319271e-05,0.43769776821136475,0.1669875979423523,0.003458580933511257
double_helix,corner_pos_neg,3.0,5.0,5.74658733967226e-05,0.4431636333465576,0.17178405821323395,0.003220274345949292
double_helix,corner_pos_neg,5.0,7.0,5.730961129302159e-05,0.4361134171485901,0.16902554035186768,0.0025688272435218096
double_helix,corner_pos_neg,7.0,10.0,5.915210931561887e-05,0.4675719738006592,0.18190425634384155,0.0033309778664261103
double_helix,corner_pos_pos,1.0,3.0,5.6083619710989296e-05,0.43517857789993286,0.1659172773361206,0.0034283939749002457
double_helix,corner_pos_pos,3.0,5.0,5.7850720622809604e-05,0.45914024114608765,0.17543438076972961,0.002854648046195507
double_helix,corner_pos_pos,5.0,7.0,5.889177555218339e-05,0.46263325214385986,0.18129727244377136,0.002193555235862732
double_helix,corner_pos_pos,7.0,10.0,6.0182810557307675e-05,0.47278743982315063,0.19092130661010742,0.0026827091351151466
double_helix,x_neg_edge,1.0,3.0,5.207454159972258e-05,0.3977990746498108,0.1449223756790161,0.002027378883212805
double_helix,x_neg_edge,3.0,5.0,5.4721014748793095e-05,0.43117642402648926,0.15858569741249084,0.0018445105524733663
double_helix,x_neg_edge,5.0,7.0,5.362534284358844e-05,0.41570615768432617,0.1490723192691803,0.0013366417260840535
double_helix,x_neg_edge,7.0,10.0,5.791243529529311e-05,0.46623772382736206,0.17507383227348328,0.0017755182925611734
double_helix,x_pos_edge,1.0,3.0,5.201120802666992e-05,0.395784854888916,0.14495164155960083,0.0020275821443647146
double_helix,x_pos_edge,3.0,5.0,5.52610945305787e-05,0.4345585107803345,0.16128253936767578,0.00183966348413378
double_helix,x_pos_edge,5.0,7.0,5.3862859203945845e-05,0.4176756739616394,0.1507011353969574,0.0013399866875261068
double_helix,x_pos_edge,7.0,10.0,5.7876124628819525e-05,0.4657495617866516,0.17505180835723877,0.0017773996805772185
double_helix,y_neg_edge,1.0,3.0,5.207453796174377e-05,0.3977990746498108,0.1449223756790161,0.002027379348874092
double_helix,y_neg_edge,3.0,5.0,5.4721014748793095e-05,0.43117648363113403,0.15858568251132965,0.0018445099703967571
double_helix,y_neg_edge,5.0,7.0,5.362534284358844e-05,0.4157062768936157,0.1490723043680191,0.0013366419589146972
double_helix,y_neg_edge,7.0,10.0,5.7912438933271915e-05,0.46623772382736206,0.17507383227348328,0.0017755187582224607
double_helix,y_pos_edge,1.0,3.0,5.2011215302627534e-05,0.3957849144935608,0.14495164155960083,0.0020275821443647146
double_helix,y_pos_edge,3.0,5.0,5.526109816855751e-05,0.434558629989624,0.16128253936767578,0.00183966348413378
double_helix,y_pos_edge,5.0,7.0,5.386285192798823e-05,0.4176759719848633,0.1507011353969574,0.0013399866875261068
double_helix,y_pos_edge,7.0,10.0,5.7876124628819525e-05,0.46574974060058594,0.17505179345607758,0.001777399331331253
multiring_spiral,center,1.0,3.0,3.435397957218811e-05,0.23274821043014526,0.07985410839319229,0.00160992203745991
multiring_spiral,center,3.0,5.0,1.811792935768608e-05,0.08478999137878418,0.02854745462536812,0.0012612035498023033
multiring_spiral,center,5.0,7.0,1.2751954006628985e-11,-7.152557373046875e-07,-5.849782436229134e-09,1.378274716579142e-09
multiring_spiral,center,7.0,10.0,1.2579534636181222e-11,-7.152557373046875e-07,1.210663569395365e-09,1.4072760734507028e-09
multiring_spiral,corner_neg_neg,1.0,3.0,5.755422535003163e-05,0.4519222378730774,0.17297281324863434,0.0036501390859484673
multiring_spiral,corner_neg_neg,3.0,5.0,5.867659274372272e-05,0.4665440320968628,0.17998164892196655,0.0033111218363046646
multiring_spiral,corner_neg_neg,5.0,7.0,5.84022855036892e-05,0.46513283252716064,0.17944087088108063,0.002860450651496649
multiring_spiral,corner_neg_neg,7.0,10.0,5.9046768001280725e-05,0.4707762598991394,0.18265026807785034,0.0034262898843735456
multiring_spiral,corner_neg_pos,1.0,3.0,5.800256985821761e-05,0.4594600796699524,0.17562267184257507,0.0036330719012767076
multiring_spiral,corner_neg_pos,3.0,5.0,6.0267571825534105e-05,0.4808926582336426,0.1876274049282074,0.003339253831654787
multiring_spiral,corner_neg_pos,5.0,7.0,5.874227645108476e-05,0.46722251176834106,0.1822579801082611,0.002881648251786828
multiring_spiral,corner_neg_pos,7.0,10.0,6.0178383137099445e-05,0.4794173836708069,0.18775781989097595,0.0034221699461340904
